	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
PDE1B	1.21863	1.88832	0.85651	1.25828	0.72645	2.11482	0.48754	0.83567	1.89249	3.47201	2.6448	0.88198	0.77079	1.49841	1.95696	0.36704	1.49951	2.05434	1.25866	1.24302	0.81682	1.20038	2.66139	0.65354	1.24343
PDE1C	0.25647	0.45089	0.05751	0.39266	0.59215	0.24889	0.08365	0.36994	0.13098	0.47946	0.25826	0.32918	0.21533	0.55515	0.0426	0.07475	0.4699	0.48855	0.22508	0.33687	1.45319	0.04285	0.28952	0.26649	0.24953
PDE2A	1.87528	1.0193	0.82517	1.351	0.18367	1.33282	0.37236	1.07559	1.06155	2.90144	1.3246	0.93822	0.66007	2.62948	1.08537	0.77307	1.42325	1.20284	1.24371	0.46336	1.04543	1.46646	3.08329	1.37737	0.69004
PDE3A	1.23848	0.39339	4.14562	0.72328	0.75177	0.95338	1.08736	0.79792	1.22534	2.13523	2.08847	5.04411	1.78841	1.65467	0.6255	0.51803	3.33903	0.68468	2.70986	2.54913	2.43847	2.1541	2.01911	1.11883	2.02087
PDE3B	1.98183	4.17089	0.68259	1.95813	1.25675	1.17299	2.30731	1.73146	1.79003	0.9249	2.34038	1.56731	4.49922	3.31152	1.82227	0.80149	3.60992	1.69315	1.51182	2.37748	1.32623	2.71411	2.95342	2.73871	1.25328
PDE4A	2.57462	2.1541	0.36022	0.66701	1.58821	2.31107	0.29209	0.62117	1.05449	2.7391	2.73426	1.62452	2.20512	1.62016	2.25965	1.24343	2.43526	2.15601	2.01498	2.45795	1.00099	1.74126	2.43339	1.55033	1.20986
PDE4B	5.1643	3.49112	5.01988	3.94304	5.01606	2.50464	3.77407	3.39904	4.0595	2.37816	3.11682	4.47284	2.26245	4.98739	4.29357	3.76887	3.45098	3.12562	3.77242	3.24806	5.24394	4.64297	5.81021	2.31507	4.26234
PDE4C	0.11915	0.18294	0.09378	0.08586	0.12104	0.37157	0.14719	0.12735	0.2378	0.30587	0.11939	0.21216	0.57443	0.04931	0.13547	0.09252	0.09344	0.03616	0.09109	0.18983	1.50626	0.62313	0.10638	0.81975	0.83245
PDE4D	1.97962	2.91247	3.24213	1.30337	2.02455	2.5126	1.77695	1.90176	3.0546	1.26664	0.79433	3.29741	1.93611	1.99843	5.24466	3.64514	1.989	1.01683	1.59384	1.91937	1.06701	1.97181	2.35448	2.35249	3.68442
PDE4DIP	5.01335	3.75752	2.85799	4.09716	4.373	3.66513	3.83119	3.34769	3.55384	4.98861	4.30247	3.99299	3.36499	3.51686	5.29743	5.08218	4.78657	5.14433	4.68261	3.5986	3.45	3.35176	4.29232	3.94983	4.95072
PDE5A	1.45693	2.81971	0.8916	1.48148	1.84563	1.35626	1.57908	2.00209	1.95599	2.54967	1.27099	1.32523	1.16587	2.3263	0.87922	1.01514	1.72406	1.1759	0.91395	1.03471	1.4473	0.70473	2.22873	2.06052	1.74775
PDE6A	0.05223	0.20787	0.04594	0	0.12548	0.09035	0.07973	0.03841	0.02905	0.01788	0.05452	0.12967	0.04968	0.05501	0.01973	0.612	0.01118	0.06019	0.01209	0.23828	0.04846	0.34639	0.0052	0.01622	0.07883
PDE6B	1.40086	0.84196	0.38824	2.22073	1.28335	1.49308	0.20868	0.6433	2.15643	1.01783	1.41044	0.64464	1.05616	2.06475	0.67518	1.29404	0.43851	2.55619	1.53908	0.75366	1.50585	0.29123	1.89502	0.79386	3.31125
PDE6C	0	0	0	0	0	0	0	0	0	0.00757	0	0	0	0.00289	0	0	0	0	0	0	0.06257	0	0	0	0
PDE6D	4.92172	4.77255	6.5036	5.33518	4.40956	5.44208	4.98244	4.83881	4.47705	4.36699	5.26639	4.68598	4.07718	4.7258	5.07599	4.63172	4.93251	4.995	4.60781	4.73964	5.35144	4.02485	4.51012	4.33286	5.40964
PDE6G	2.36133	1.86212	0.17563	4.30327	1.34445	2.52684	0.82352	0.22401	1.09741	1.60063	2.03325	1.27524	0.16234	2.83836	0.79687	2.96821	0.40754	3.12502	2.0537	2.36355	0.71586	0.54793	2.76562	2.70646	2.38919
PDE6H	0	0.08106	0	0	0	0.18038	0	0	0.09334	0	0	0.08813	0	0.04511	0	0	0	0.04271	0	0	0.14936	0	0	0	0
PDE7A	3.02591	2.69309	1.52822	1.85849	2.08163	2.37522	1.44647	1.38327	1.12678	2.46426	1.82932	2.0959	2.49987	4.20517	1.64067	1.70446	1.80783	2.53483	2.65955	1.82133	2.33798	1.70698	3.62994	1.81172	3.40219
PDE7B	0.84894	0.50513	0.17602	0.9632	1.34141	0.63031	0.27234	0.57443	1.0933	1.02132	0.56824	1.29864	0.75713	1.45288	0.85614	0.61443	1.87528	2.80111	1.04543	1.31558	0.81005	1.07867	0.99005	0.40959	0.49798
PDE8A	2.75408	4.03654	4.33868	2.36671	4.20786	3.42609	3.70006	4.36455	3.89855	3.29539	3.24107	2.99478	3.22137	2.71202	4.55105	2.98647	3.99299	3.95247	3.18016	2.71014	3.16449	2.71821	3.00846	3.14902	3.327
PDE8B	0.32564	0.69895	0.99705	0.44553	0.27042	0.28609	0.61863	1.26179	0.9502	0.4835	0.28408	0.38508	0.91581	0.26267	0.50293	0.24606	0.62598	0.16073	0.17926	0.26043	0.49214	0.31267	0.80548	0.19358	0.66313
PDE9A	2.07052	0.78266	3.10546	3.02664	1.97708	1.72613	1.10865	0.73909	0.9106	1.84599	0.94477	1.95743	0.52413	1.89743	3.55944	2.74291	1.59384	2.10279	1.14995	0.96587	0.81059	0.70676	2.14803	1.08285	3.3637
PDF	2.07256	2.11411	2.28695	3.02183	3.09329	1.13652	4.16336	3.65485	3.00846	2.07356	2.55359	1.81946	2.68456	2.28139	1.43243	4.09292	2.74249	3.3826	2.06387	2.43208	2.75963	3.65815	0.89129	2.48486	3.34303
PDGFA	2.71954	4.67069	2.74561	4.5185	4.07251	2.85631	2.68492	1.37242	2.16448	3.39723	2.5526	1.39568	0.78296	2.01385	0.88665	0.64943	3.86493	3.63797	4.24932	5.24229	1.26179	3.605	2.52684	1.02335	2.72754
PDGFB	2.19413	1.22495	2.61017	2.82953	1.81977	4.30037	1.66432	2.21665	1.70359	4.50187	2.96791	2.70231	1.71143	2.68186	2.88102	2.44524	3.18844	2.71954	3.68007	2.64115	2.84472	2.52132	2.87059	2.08475	2.63021
PDGFC	2.27724	2.46245	1.58615	2.35625	2.27008	1.13722	0.69247	1.28135	1.73105	4.1845	2.63918	1.90716	1.19439	2.06278	1.52292	1.31494	2.69309	3.77539	2.64817	2.94588	1.60283	2.34688	2.2822	1.15033	1.08981
PDGFD	2.42422	4.48321	0.74094	4.11047	1.50274	0.61516	2.23522	1.90836	2.34811	3.51977	3.7059	2.25718	3.38846	3.30905	1.14193	0.37052	5.3169	3.60992	3.30417	3.31678	4.63974	1.84832	2.5371	3.74621	1.7392
PDGFRA	1.73176	1.67121	1.55211	3.3307	1.93173	1.06119	1.38327	1.68818	1.89643	5.69192	3.51977	3.79945	1.48913	3.74653	1.46713	1.48192	2.8845	3.91023	3.57643	4.5891	2.3833	2.53014	3.37194	2.50267	1.48405
PDGFRB	4.11522	2.34885	2.54678	4.25054	3.49827	5.241	2.61445	3.00073	2.94897	6.87358	4.26645	4.36408	3.32301	4.4398	3.13678	2.21524	5.17507	4.63919	5.16209	4.20517	4.12601	4.39152	5.22604	3.41004	2.77128
PDGFRL	0.69134	1.03683	2.03185	3.7476	0.82209	1.90278	0.92191	2.34158	1.97064	5.52121	3.89987	2.89386	1.07138	1.276	1.20525	2.36744	2.36992	4.52679	4.5203	2.44309	2.12347	1.63636	4.82786	1.0953	0.92625
PDHA1	4.23901	4.50116	5.03391	3.82603	3.02246	4.93855	4.53927	4.80025	3.97902	3.68267	4.82713	4.12525	4.49007	3.86889	3.79419	4.00972	3.91843	4.01057	4.30085	4.20168	5.51354	4.11611	4.10085	4.70213	4.1451
PDHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11686	0	0	0	0	0	0	0	0.01825	0
PDHB	5.46415	5.56858	5.97235	5.83734	6.04436	5.3709	6.05618	5.7925	6.42399	5.94478	6.18527	5.91973	5.54895	5.95533	5.61098	6.06545	5.86733	5.93466	5.72289	5.91767	5.46925	6.24371	5.56081	5.79931	6.72925
PDHX	2.84472	3.41067	3.67274	3.5058	3.55944	3.55973	4.04434	4.06615	4.13511	2.64644	3.68945	3.60115	3.81166	3.10758	3.44544	3.96176	3.17703	2.77664	3.08867	2.83959	3.8693	3.46715	2.85986	4.01446	4.2912
PDIA2	0.1686	0.09058	0.04086	0.00948	0.0872	0	0.03983	0.03318	0.00747	0.05097	0.20868	0.04931	0.19992	0	0.04543	0.20677	0.00779	0.23113	0.02752	0.06301	0.01998	0	0.02149	0.24368	0.50835
PDIA3	8.11886	8.49325	8.64841	6.9786	8.37649	7.57998	6.65085	8.71657	6.01713	7.73267	7.35178	8.09203	7.21086	7.63456	6.93951	6.23245	8.28798	6.90094	7.62587	7.65025	8.16861	7.64718	7.19754	7.02706	7.30933
PDIA4	6.9332	6.25804	5.33573	5.26874	7.74208	5.91973	4.62337	5.36247	4.52724	5.9777	5.52808	6.6899	5.82405	5.80915	5.57452	5.23672	5.61917	6.37234	6.02224	5.98372	5.39394	6.76624	5.40182	6.0271	4.70026
PDIA5	4.89565	4.61993	3.1498	3.61302	4.99741	2.88956	3.60391	3.92295	3.63619	4.81966	4.01386	4.57245	3.1514	4.35429	3.77056	3.15176	4.39224	4.20125	4.08468	3.70707	2.80589	4.85631	4.30167	4.32928	3.90744
PDIA6	8.22856	7.69959	7.37902	6.85375	8.62244	6.64304	6.61606	7.87037	7.56566	7.07195	6.89553	8.03085	7.44336	7.56881	7.75429	7.09704	6.86392	6.82267	7.18204	7.02874	7.30933	7.71678	6.75944	8.40738	6.76164
PDIK1L	3.33577	1.8552	2.43942	1.93889	2.17104	1.97406	2.46532	2.2096	2.71083	1.73646	2.18579	2.23047	3.22768	2.62451	2.28175	1.6842	2.12896	1.24497	1.70661	1.71529	2.20094	1.82256	1.20246	1.92896	2.2396
PDILT	0	0	0	0.0261	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0
PDK1	6.5884	3.33708	2.67182	3.26063	3.85508	2.46502	2.63368	2.53129	3.78074	1.52401	3.12986	4.99557	2.89575	3.46151	2.20887	2.89386	2.7494	1.99703	2.6886	2.21444	2.007	3.8384	2.45588	3.06091	2.87485
PDK2	2.98401	2.94833	3.34303	3.37528	2.39639	3.79945	2.73015	3.83457	3.39061	3.28539	3.44616	3.66655	2.72364	2.75807	3.07381	3.63371	2.74176	3.14863	3.07181	3.18699	4.09457	2.19061	3.69512	3.41164	2.6222
PDK3	2.08684	2.21866	1.60844	1.97032	2.91812	2.20584	1.68818	2.83959	3.15243	2.36499	3.14441	2.17924	3.1205	2.58934	3.25719	3.15868	2.69433	1.70272	2.73111	2.58431	2.22534	2.08039	2.30351	2.08988	1.59295
PDK4	2.59001	7.27481	0.97804	3.45513	2.23405	6.1173	1.42506	1.53539	4.58295	5.13812	1.70407	5.02387	1.72106	5.33332	7.20644	6.46902	2.1058	2.16448	5.8207	3.27068	1.89781	4.91076	2.88825	6.39788	5.49075
PDLIM1	5.95761	4.76224	4.391	4.79288	4.03617	5.55661	3.7059	3.10275	3.94015	6.747	4.70705	4.45817	3.94512	7.12856	4.23621	3.27354	4.0398	5.27436	5.51285	3.97902	3.67729	4.52345	7.56566	4.60375	4.46204
PDLIM2	2.36707	3.22519	0.90707	3.58547	3.08005	3.19543	4.37673	4.08601	4.19323	4.96039	3.28726	2.9524	2.91525	3.02397	3.03411	2.74499	2.99968	3.80185	3.60152	2.89021	2.08604	2.60188	3.56302	2.87865	2.37715
PDLIM3	2.33567	4.70125	4.53976	5.12898	3.24176	5.89556	5.46993	6.92212	5.91549	4.67069	4.21004	5.30813	4.31275	3.54223	4.43055	6.56871	5.92658	5.5727	4.23937	3.80148	2.70863	2.0473	5.67143	5.93466	6.07422
PDLIM4	0.4406	2.51007	3.7758	2.4505	0.81813	0.96514	0.48122	3.40594	2.25595	2.75375	3.3852	1.62487	2.4014	0.81448	1.58615	0.24726	4.08678	1.43102	1.26102	1.53259	2.86554	3.64706	2.56353	0.31249	0.20074
PDLIM5	3.55271	3.13569	4.58646	4.18917	3.38226	3.09623	4.38569	4.27506	3.99269	4.80775	3.97687	3.69051	4.32412	4.44327	2.97385	2.09032	4.72051	3.61603	3.87204	3.57276	3.87247	3.21793	4.12007	3.95014	3.94193
PDLIM7	2.87027	1.9472	3.50151	4.38655	2.85597	3.75524	4.02001	3.81272	3.04016	6.02097	3.6348	4.46664	1.92561	2.5874	2.33149	3.21647	3.5398	4.24742	4.40569	3.20503	2.59033	4.17338	4.18658	3.74653	3.08005
PDP1	3.08262	2.88926	4.77662	3.69794	3.34498	4.78376	5.21775	3.62472	5.23947	3.01733	2.87059	4.03532	3.64555	3.1621	3.8601	4.28247	3.91023	1.93935	3.19256	2.78095	2.70646	4.7842	2.46956	5.19395	3.10967
PDP2	1.36062	1.89405	1.70314	0.96783	1.12455	1.53539	2.13554	2.48165	1.90716	0.67903	1.04507	1.71023	2.56099	1.23566	1.94005	2.10131	2.24374	0.67544	1.14953	1.52656	2.09238	2.68052	0.95086	1.91134	2.11619
PDPK1	2.75166	3.098	3.13447	1.51862	2.01735	2.3656	2.10279	2.97432	1.63561	2.7292	1.88129	2.9063	3.57314	2.90311	3.48636	1.68486	3.47301	2.2672	3.43914	2.93435	3.48903	3.01805	3.39478	3.07441	2.46532
PDPN	1.5468	1.38516	1.53288	2.65435	1.82826	1.16137	0.84796	2.1585	3.60189	5.622	3.47269	3.35822	1.1119	3.54082	0.83357	2.06387	2.07745	4.43263	3.85234	2.90027	1.6813	1.44472	3.07825	1.49702	1.38179
PDPR	1.57839	2.78032	2.61513	0.90896	1.38291	2.12639	0.96681	2.6559	0.94081	2.41419	1.59488	2.06537	2.92457	2.55235	2.87127	1.5534	2.70706	1.20573	1.65359	2.87785	3.44894	3.3002	2.92117	2.28139	2.11685
PDRG1	3.24777	3.8627	3.83721	4.42566	4.70176	3.3118	4.18555	4.69365	4.66902	3.67345	4.18841	4.35033	5.03994	3.8848	4.80402	5.02457	3.11462	4.79677	4.0595	4.44506	4.46486	3.89538	3.51243	4.93855	5.01412
PDS5A	4.21404	4.23343	3.99904	3.68832	3.80994	3.89304	4.23806	4.27086	4.07096	3.77804	4.00344	4.08468	4.99811	4.7403	4.40719	3.79344	4.28072	3.35257	3.99765	3.71182	4.41004	4.13853	4.2601	4.2692	4.10839
PDS5B	3.05082	3.23756	3.62927	2.64218	2.94651	2.12018	2.61682	3.36438	2.73568	2.31838	2.82841	2.63918	3.99737	3.25477	3.65129	1.96475	3.62626	2.28045	2.55153	3.30082	4.04216	2.50338	2.6058	2.2487	2.36744
PDSS1	1.65783	1.77211	2.6401	2.86646	2.38919	3.4986	3.20675	2.09885	2.53781	1.7409	1.44406	2.10616	1.94199	1.9021	1.36635	3.10248	1.82014	2.15368	2.48165	1.19185	2.08039	2.93813	1.50844	2.95848	3.06326
PDSS2	3.16828	2.87563	3.05747	2.57795	3.49677	2.08287	2.69365	2.873	3.48782	2.87485	3.0766	3.04968	3.12019	2.99968	2.39052	2.69598	3.58657	2.5874	2.7903	2.82228	3.34274	2.2369	2.47526	2.63576	3.08642
PDX1	0	0	0	0.02191	0	0	0	0	0	0	0	0	0	0.03007	0.00188	0	0	0	0.05023	3.21647	0	0	0	0	0
PDXDC1	4.91398	4.49508	4.48134	3.62775	3.94375	4.61453	4.13148	6.52369	4.03909	4.62292	4.80078	4.65692	5.45642	4.21329	3.81946	4.16055	6.08621	4.06376	4.95154	4.77209	4.56162	4.69536	4.42372	4.50616	4.82653
PDXK	3.50151	2.07148	3.08999	2.78321	3.1015	3.28433	3.10188	3.0228	2.73533	4.00384	3.03919	3.4419	2.88859	2.28695	3.26635	3.22556	2.8617	3.10113	3.58619	2.83718	2.35963	2.9599	2.89727	2.86409	3.00165
PDXP	3.27752	2.19509	4.25791	3.52954	3.42298	4.19568	3.77056	4.09358	2.01106	2.43137	3.78717	4.07858	4.44718	2.65662	4.83696	4.18277	4.05223	2.94032	3.57134	2.38059	3.85313	4.64483	1.72757	3.71806	3.82603
PDYN	0	0	0	0	0	0	0	0	0	0	0	0.06817	0	0	0	0.04109	0	0.00474	0	0	0	0.07164	0	0.02006	0
PDZD11	5.1437	5.8661	5.42161	5.78461	5.16144	6.32841	5.55855	5.64593	6.24902	4.82026	5.64495	4.8171	4.80713	4.44813	4.99151	6.11098	4.68261	5.58263	5.01256	5.65739	5.44402	4.87201	4.15355	4.75961	5.21444
PDZD2	1.89435	2.2629	0.47252	0.67811	3.09065	0.71733	0.9349	0.4469	0.90229	1.33853	0.64195	0.45787	1.0431	1.22816	1.03845	0.08383	0.69744	0.61398	0.60767	0.62117	0.53433	1.18836	1.51329	0.77187	0.33567
PDZD3	0	0	0	0	0	0	0	0.10616	0.02032	0.01295	0.01986	0	0.02468	0	0	0	0	0	0	0.03284	0	0	0.01459	0	0.0367
PDZD4	0.48036	0.74477	0.97466	0.63268	0.69431	2.36317	2.15103	2.47878	1.00195	0.82874	2.82494	0.41818	2.18291	0.89901	2.65558	0.43125	2.3582	1.47003	1.47003	2.63368	0.40538	0.2957	1.21434	1.77463	0.4511
PDZD7	0.54793	0.2203	0.84361	0.20331	0.612	1.01442	0.50135	1.1744	0.42262	0.28365	0.42514	0.15631	0.25468	0.15225	1.06907	0.80548	0.33723	0.25205	0.17838	0.27503	0.45747	0.45747	0.18154	0.38772	0.20345
PDZD8	2.24553	2.45904	3.43055	1.41119	2.14846	1.6221	2.01106	2.60554	1.18601	2.07955	1.17961	1.92328	2.31802	2.23999	3.41044	0.91088	2.38519	1.25461	2.31905	2.00731	2.83787	3.26759	2.81511	2.6015	2.37244
PDZD9	0	0.04021	0	0.19525	0.16593	0	0.07938	0.48146	0.05736	0.25356	0.17403	0	0.2225	0.12922	0.03524	0	0.14668	0	0.03384	0.03951	0	0.06055	0.08444	0.0278	0.12938
PDZK1	0.08348	0.30119	0.25205	0.08159	0.23687	0.3746	0.50513	0.50932	0.1285	0.11014	0.23651	0.07541	0.40141	0.20442	0.4867	0.46586	0.1631	0.00807	0.09693	0.12515	0.26463	0.18397	0.14548	0.04941	0.19106
PDZK1IP1	0.16039	0	0	0	1.55211	0.15452	0	0	1.38697	0.34277	0	0	0	0.07764	0	0.06543	0.06277	0.56755	0	0.4536	0	0.0752	0.30953	0.03797	0.07061
PDZRN3	0.39962	2.06737	3.28242	2.72331	3.65525	3.80294	2.50193	3.34388	4.78777	3.38407	4.19104	2.60052	2.30282	1.40778	3.24711	3.29005	2.90395	3.01535	2.21405	3.03853	2.14673	1.80628	2.55235	1.73489	1.20841
PDZRN4	0.1835	0.01725	0	0.35873	0	0	0	0.66731	0	1.20074	0	0.16602	0	0.00288	0.07164	0	0.14428	0.17709	0.63775	0	0.35497	0.07541	0.44766	0	0
PEA15	6.36602	7.18711	7.28587	6.79921	7.16547	6.8908	6.14495	6.80408	6.2185	7.58551	7.16547	6.9565	7.40197	6.71878	7.78598	6.44557	6.82065	7.00687	6.82933	7.18204	8.13853	7.05616	7.28084	6.69387	5.86931
PEAK1	2.30282	3.57674	2.14733	1.64342	2.15324	2.29656	1.90176	2.9196	1.29066	3.73731	2.53483	2.96113	2.99448	2.91735	2.60931	1.78471	3.83646	2.55359	3.22178	2.4726	3.0542	2.24307	3.16929	2.47126	1.9472
PEAR1	0.7102	0.67518	0.35787	0.84585	0.39877	1.5453	0.26167	0.65544	0.33909	2.19538	0.72614	0.63268	0.54439	1.31754	0.3407	0.12104	0.82322	1.5644	1.05815	0.26543	0.59215	0.62065	1.85372	0.43324	0.3035
PEBP1	7.31875	8.05264	8.01939	7.06523	8.15571	7.48017	7.78933	8.45861	7.18711	6.9786	7.5191	8.17946	7.53862	6.78903	8.40738	8.28798	7.9253	7.13409	7.35483	7.72483	7.64254	6.37385	6.99177	7.06523	8.19488
PEBP4	0.68931	1.168	1.81736	2.82228	0	0.43239	0.09808	0.60483	0.73855	0.47071	0.68081	0.27602	0.82391	0.47318	0.40883	0.19318	1.27436	0.48462	0.16223	0.19115	0.62646	0.0752	0.77884	0	0.07061
PECAM1	6.98358	4.37346	2.4065	4.84549	4.07335	4.66312	3.42072	2.73871	4.27358	6.71476	4.88822	5.94236	2.76124	6.4919	3.96872	4.21812	4.54021	5.31458	5.65143	4.15031	4.52345	3.91023	6.5921	4.57081	3.76501
PECR	2.66487	2.54824	1.79767	1.68893	3.49112	2.22652	3.51505	3.58764	4.5945	1.94132	2.23793	1.72294	1.92717	2.00667	2.12097	3.15612	2.31652	2.57398	1.59335	2.52651	0.90896	1.95366	3.17053	3.28433	2.36992
PEF1	5.2488	4.11133	5.12642	4.76446	4.85344	5.26802	4.82535	5.25454	4.59928	5.38366	5.5313	5.17507	5.21775	5.21444	5.25889	5.30454	4.8603	5.17359	5.16633	5.06975	4.84191	4.60142	5.33793	4.78777	5.03994
PEG10	1.27912	4.73638	5.56952	3.64706	1.70236	2.61017	3.31743	2.39157	0.10316	0.77952	4.03532	4.24523	5.67032	1.93203	5.57036	3.91796	2.46602	1.96332	5.52374	4.76985	2.47489	6.46366	1.43197	2.17076	0.31219
PEG3	0.31408	2.7736	0.09446	1.75581	0.12196	0.06464	0.12585	0.43666	0.16958	0.63799	0.62958	0.54876	0.07511	0.41198	0.04877	0.03495	0.81255	0.18569	0.26713	1.07168	0.18045	0.11196	0.37493	0.06152	1.7692
PELI1	4.38914	2.98035	3.95207	3.55849	4.54798	2.57912	3.56365	4.79528	4.62292	2.84835	3.49333	3.22357	3.94412	3.89463	3.28981	2.52099	4.29847	3.21521	2.34769	3.26231	3.02527	2.87333	4.09751	3.32773	1.82368
PELI2	1.22301	1.44543	2.99692	1.4704	0.96514	2.0124	2.22223	2.29297	2.59706	1.6113	1.95182	1.10683	2.40844	1.57988	2.32	1.07312	2.55934	0.54751	1.33937	2.29616	1.50805	2.12273	1.96181	1.76791	1.24138
PELI3	0.97534	1.55678	1.4689	0.71815	0.85863	2.34	1.63529	2.21208	1.1559	1.54724	1.66732	1.10786	1.41815	0.58663	2.21591	2.35415	1.01783	0.98331	2.78753	0.93001	0.92657	1.09179	0.8751	1.17895	1.51567
PELO	3.14902	3.06285	3.20503	3.46502	2.87447	3.21046	3.06829	3.22688	2.12188	3.4149	1.98342	3.33679	2.95732	2.57943	2.75872	3.4098	3.00037	3.28866	2.98035	2.6015	2.93314	3.3038	3.33439	3.2007	3.4835
PELP1	3.35684	2.37401	3.30625	2.75733	2.81533	4.72698	2.9813	3.10481	2.82914	3.08394	3.66865	2.91626	2.94615	2.61805	3.22296	2.95796	3.19866	3.00738	3.18252	3.28497	3.19438	3.46117	3.14586	3.5146	2.67494
PEMT	2.95139	3.54116	4.20957	4.81765	3.18879	3.65681	4.96929	4.31729	4.25482	3.33333	4.33652	3.80792	3.32999	1.98294	4.33063	4.62544	3.38883	3.25063	3.69685	3.26665	3.7476	3.62894	4.10626	3.37363	3.56142
PENK	0	0	0.21495	3.35388	0	0	0	0.34216	0	0.21728	0.07864	0.09927	0	0	0.31298	0.22889	0.44085	2.52382	0.34959	2.07669	0.07443	0.10502	1.03142	0	0.04757
PEPD	4.22339	4.47243	5.02971	4.52679	4.62292	5.14739	5.13172	5.20647	3.78518	5.23672	5.27572	5.46993	4.82495	4.522	5.9986	5.01335	4.7919	4.70519	5.33059	4.95005	4.54691	3.88842	4.66424	4.84191	4.67069
PER1	4.00625	3.20368	3.53916	2.85162	2.1495	4.66475	3.4962	2.02455	4.22439	2.85631	3.18354	2.19374	3.06029	2.78824	3.6281	4.0023	3.19478	3.41227	2.66737	3.8231	3.32554	2.88989	4.87996	3.88067	2.58391
PER2	1.37906	0.96383	1.21793	0.68296	0.57391	1.26102	1.38291	1.09017	0.6324	1.66695	0.9314	1.15461	1.88458	1.54963	0.9502	0.21427	0.85899	0.88523	1.12421	1.54174	1.15959	0.65354	3.26561	0.77982	0.77645
PER3	1.11522	2.11619	2.30107	0.40538	1.50063	1.95951	2.71375	2.72497	2.25159	2.57232	2.33149	1.91863	1.41998	1.4522	4.79623	1.69496	1.22637	1.26497	1.76185	1.72757	2.20854	0.75773	2.65955	1.91827	2.10894
PERM1	0.75016	0.08935	0.97232	0	0.36454	3.1625	0.24492	0.26451	0.66421	0.07052	0.74748	0.41263	0	0.01986	0.32417	0.08793	0.04244	0.0487	0.21894	0.13505	0	0.19942	0.04562	0.46894	2.38661
PERP	2.15889	4.23982	5.28602	1.38991	4.65825	3.3834	4.66956	5.77775	5.37336	2.27324	3.39361	4.92504	4.01253	2.55589	2.5471	3.20556	5.06587	1.62372	3.23792	3.43512	1.74359	3.2913	2.02971	2.51396	1.36987
PES1	4.15561	4.0646	5.20139	4.35259	4.69214	4.99997	4.16238	4.83397	4.23759	4.63488	4.13428	4.71181	5.45395	4.45979	4.92048	4.65745	4.77731	4.2342	4.87793	4.14468	4.63369	6.13751	4.46246	5.21144	5.2537
PET100	7.77299	7.9002	7.97175	8.8384	8.35403	8.85752	8.55849	8.08593	9.91385	7.22839	8.2335	7.48419	6.71476	7.28358	7.41774	9.05888	6.82462	8.73546	7.34119	7.35803	7.27105	7.25924	7.09065	7.38278	7.55057
PET117	3.31902	3.31392	3.39838	3.94805	3.44451	3.82428	4.45651	4.02085	4.16055	2.96948	3.74728	4.06159	4.56078	2.95628	4.29847	3.8231	3.32592	3.30707	2.66263	3.95323	4.37772	4.02634	2.19889	4.50776	4.31766
PEX1	1.98374	3.43914	2.71632	2.36102	2.8185	2.92117	2.62581	1.91229	2.83931	1.90507	2.66207	2.69956	2.79904	2.75468	3.06029	3.13928	3.01081	2.49407	2.95405	3.05582	3.1679	2.99411	2.43813	3.37166	2.98212
PEX10	2.99256	2.90714	4.39003	3.55695	3.97729	3.92216	3.99366	3.68048	3.50548	3.39061	4.74224	3.74728	2.99551	2.57288	4.30207	3.94556	3.09235	3.09469	3.29516	3.49783	3.2004	3.37097	2.72535	3.51029	3.50853
PEX11A	1.0007	2.68618	2.0658	2.13367	1.57491	1.77494	2.78753	2.51591	2.4587	1.30775	1.87528	1.05417	2.02835	1.42395	2.62487	2.54205	2.2647	1.77045	0.76415	1.98342	1.5534	1.49887	1.21961	1.40973	2.68321
PEX11B	4.21522	4.55923	4.27784	4.59182	4.08219	4.33324	4.34334	4.54949	4.66849	4.2156	4.1451	4.54743	4.37215	4.56676	4.31561	4.26645	3.69324	4.18408	3.92927	4.4983	4.94421	4.57891	3.64601	3.69794	4.68485
PEX11G	0	0.34104	1.58027	1.84141	0.34909	1.10251	1.00843	0.14174	0.28937	1.65783	1.28171	1.15223	1.18711	0.28257	1.16721	2.15706	0.94795	1.33937	1.66844	1.0805	0.93172	0.68318	0.71703	0.65599	1.50918
PEX12	2.42996	2.01317	2.62294	2.62875	2.56682	1.65126	3.24432	3.11236	2.84675	1.64512	2.1058	1.91103	2.32596	2.09753	2.76498	2.41545	2.54205	1.93542	1.98034	2.19101	3.0389	1.99753	1.00388	2.4407	2.31564
PEX13	3.10818	2.71136	3.11618	3.36807	3.38817	2.5146	3.78487	2.86933	4.21881	2.62581	2.46795	2.86479	2.8185	2.9209	2.69675	2.94265	2.8164	2.69761	1.97592	2.2593	2.10649	2.61941	2.05224	3.05057	2.89797
